time,code,class
2.926,voice_start,1
3.48,voice_start,1
4.12,voice_start,1
5.974,voice_start,1
7.168,voice_start,1
9.641,voice_start,1
10.452,voice_start,1
11.645,voice_start,1
14.289,voice_start,1
23.16,voice_start,1
23.883,voice_start,1
34.287,voice_start,1
35.161,voice_start,1
3.928,tail_up,2
4.226,tail_up,2
4.461,tail_up,2
4.76,tail_up,2
5.06,tail_up,2
5.36,tail_up,2
5.72,tail_up,2
6.02,tail_up,2
6.26,tail_up,2
6.56,tail_up,2
6.92,tail_up,2
7.168,tail_up,2
7.34,tail_up,2
10.046,tail_up,2
10.707,tail_up,2
14.4,tail_up,2
24.011,tail_up,2
35.08,tail_up,2
36.227,tail_up,2
48.58,END,0
