"species","file","class","code","time"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",0.14
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",0.282
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",0.5
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",0.8
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",1.007
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",1.1
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",1.4
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",1.711
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",1.881
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",1.945
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",2.307
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",2.606
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",2.606
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",2.841
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",3.14
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",3.416
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",3.44
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",3.74
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",4.04
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",4.29
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",4.34
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",4.64
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",5
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",5.015
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",5.25
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",5.484
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",5.783
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",5.974
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",6.081
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",6.38
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",6.68
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",6.934
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",6.98
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",7.28
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",7.58
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",7.88
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",7.893
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",8.24
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",8.6
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",8.682
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",8.84
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",9.087
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",9.385
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",9.492
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",9.684
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",10.046
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",10.132
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",10.281
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",10.52
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",10.82
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",10.84
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",11.12
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",11.42
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",11.667
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",11.731
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",11.965
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",12.264
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",12.371
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",12.562
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",12.861
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",13.095
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",13.1
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",13.4
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",13.7
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",13.735
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",14
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",14.246
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",14.374
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",14.481
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",14.78
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",15.08
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",15.248
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",15.38
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",15.68
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",15.931
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",16.208
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",16.229
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",16.7
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",16.932
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",17
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",17.3
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",17.6
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",1,"voice_start",17.807
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",17.9
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv",2,"tail_up",18.2
