time,code,class
0.197,voice_start,1
0.534,voice_start,1
0.944,voice_start,1
1.635,voice_start,1
2.236,voice_start,1
2.736,voice_start,1
3.17,voice_start,1
3.604,voice_start,1
4.037,voice_start,1
4.443,voice_start,1
4.972,voice_start,1
5.381,voice_start,1
5.808,voice_start,1
6.32,voice_start,1
6.811,voice_start,1
7.241,voice_start,1
7.749,voice_start,1
8.176,voice_start,1
8.609,voice_start,1
9.043,voice_start,1
9.476,voice_start,1
9.977,voice_start,1
10.411,voice_start,1
10.821,voice_start,1
11.248,voice_start,1
11.679,voice_start,1
12.187,voice_start,1
0.603,tail_up,2
0.945,tail_up,2
1.135,tail_up,2
1.468,tail_up,2
1.712,tail_up,2
1.969,tail_up,2
2.236,tail_up,2
2.501,tail_up,2
2.736,tail_up,2
3.003,tail_up,2
3.269,tail_up,2
3.771,tail_up,2
4.037,tail_up,2
4.272,tail_up,2
4.613,tail_up,2
4.872,tail_up,2
5.139,tail_up,2
5.381,tail_up,2
5.639,tail_up,2
5.979,tail_up,2
6.149,tail_up,2
6.407,tail_up,2
6.746,tail_up,2
7.007,tail_up,2
7.344,tail_up,2
7.608,tail_up,2
7.875,tail_up,2
8.112,tail_up,2
8.375,tail_up,2
8.642,tail_up,2
8.88,tail_up,2
9.143,tail_up,2
9.41,tail_up,2
9.743,tail_up,2
10.01,tail_up,2
10.177,tail_up,2
10.416,tail_up,2
10.778,tail_up,2
11.013,tail_up,2
11.278,tail_up,2
11.545,tail_up,2
11.782,tail_up,2
12.846,interaction start,4
41.883, interaction end,4
44.016,END,0
