"file.cut.sgmnt","obs.dist","mean.rndm","file","cut","species","synch.score"
"entry0001_2016-06-10T103226_250.csv-1-1",37.75,38.011275,"entry0001_2016-06-10T103226_250.csv","1-1","Phaethornis yaruqui",-0.00687361841979775
"entry0001_2016-06-10T103226_250.csv-2-1",38.75,39.9876,"entry0001_2016-06-10T103226_250.csv","2-1","Phaethornis yaruqui",-0.030949594374256
"entry0002_2000-01-01T000000_000.csv-1-1",40.5,40.591925,"entry0002_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.00226461297413225
"entry0002_2000-01-01T000000_000.csv-2-1",41.25,41.16975,"entry0002_2000-01-01T000000_000.csv","2-1","Phaethornis yaruqui",0.00194924671633905
"entry0003_2000-01-01T000000_000.csv-1-1",42.75,42.459975,"entry0003_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",0.00683055041836459
"entry0003_2000-01-01T000000_000.csv-1-3",35.5130316968293,36.7798448030129,"entry0003_2000-01-01T000000_000.csv","1-3","Phaethornis yaruqui",-0.0344431335414392
"entry0004_2016-06-10T112051_746.csv-1-1",41.25,40.880425,"entry0004_2016-06-10T112051_746.csv","1-1","Phaethornis yaruqui",0.00904039035797689
"entry0004_2016-06-10T112051_746.csv-1-3",36.1893097322884,34.9320847446674,"entry0004_2016-06-10T112051_746.csv","1-3","Phaethornis yaruqui",0.0359905512886094
"entry0005_2000-01-01T000000_000.csv-1-1",46.25,46.469,"entry0005_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.00471281929888746
"entry0005_2000-01-01T000000_000.csv-1-3",26.0691667526508,21.6439536951823,"entry0005_2000-01-01T000000_000.csv","1-3","Phaethornis yaruqui",0.204454930914654
"entry0006_2000-01-01T000000_000.csv-1-1",37,36.64465,"entry0006_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",0.00969718635598925
"entry0007_2000-01-01T000000_000.csv-1-1",41,41.156775,"entry0007_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.00380921488624906
"entry0008_2000-01-01T000000_000.csv-1-1",42.75,42.422775,"entry0008_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",0.00771342751623388
"entry0008_2000-01-01T000000_000.csv-1-3",32.412622612287,32.6416561435209,"entry0008_2000-01-01T000000_000.csv","1-3","Phaethornis yaruqui",-0.00701660265725605
"entry0009_2000-01-01T000000_000.csv-1-1",26.5,27.93385,"entry0009_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.0513301961598562
"entry0009_2000-01-01T000000_000.csv-1-3",17.75,16.2543,"entry0009_2000-01-01T000000_000.csv","1-3","Phaethornis yaruqui",0.0920187273521468
"entry0010_2000-01-01T000000_000.csv-1-1",33.75,33.6807,"entry0010_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",0.00205755818614216
"entry0011_2000-01-01T000000_000.csv-1-1",23,23.094375,"entry0011_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.00408649292306024
"entry0012_2000-01-01T000000_000.csv-1-1",31.25,32.502825,"entry0012_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.0385451110788063
"entry0013_2000-01-01T000000_000.csv-1-1",45.25,45.387925,"entry0013_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.00303880382282298
"entry0015_2000-01-01T000000_000.csv-1-1",47.0995265541375,47.0157041272128,"entry0015_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",0.00178286018428793
"entry0016_2000-01-01T000000_000.csv-1-1",47.4460093896713,46.992167370892,"entry0016_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",0.00965782265791892
"entry0017_2000-01-01T000000_000.csv-1-1",58,58.009775,"entry0017_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.000168506083672927
"entry0018_2000-01-01T000000_000.csv-1-1",53,52.967875,"entry0018_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",0.000606499694390244
"entry0019_2000-01-01T000000_000.csv-1-1",48.25,48.25,"entry0019_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",0
"entry0019_2000-01-01T000000_000.csv-1-3",39.75,38.734875,"entry0019_2000-01-01T000000_000.csv","1-3","Phaethornis yaruqui",0.0262070033787381
"entry0020_2000-01-01T000000_000.csv-1-1",34.25,34.515025,"entry0020_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.00767853999816026
"entry0021_2000-01-01T000000_000.csv-1-1",40.25,40.508025,"entry0021_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.00636972550500804
"entry0023_2000-01-01T000000_000.csv-1-1",28.5,29.4676,"entry0023_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.0328360640160719
"entry0024_2000-01-01T000000_000.csv-1-1",18,20.01155,"entry0024_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.100519450017615
"entry0025_2000-01-01T000000_000.csv-1-1",39,39.12825,"entry0025_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.00327768300396775
"entry0026_2000-01-01T000000_000.csv-1-1",40.25,40.319375,"entry0026_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.00172063679062488
"entry0027_2000-01-01T000000_000.csv-1-1",37.75,36.293875,"entry0027_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",0.0401204059913691
"entry0030_2000-01-01T000000_000.csv-1-1",37.25,37.651675,"entry0030_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.0106681840847717
"entry0030_2000-01-01T000000_000.csv-1-3",37,37.03445,"entry0030_2000-01-01T000000_000.csv","1-3","Phaethornis yaruqui",-0.00093021497551603
"entry0031_2000-01-01T000000_000.csv-1-1",5,7.566475,"entry0031_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.339190309886704
"entry0032_2000-01-01T000000_000.csv-1-1",29.7004754358162,32.8949963549921,"entry0032_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.0971126698024734
"entry0032_2000-01-01T000000_000.csv-2-1",42,42.412725,"entry0032_2000-01-01T000000_000.csv","2-1","Phaethornis yaruqui",-0.0097311596932289
"entry0033_2000-01-01T000000_000.csv-1-1",46.75,46.432925,"entry0033_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",0.00682866737342097
"entry0035_2000-01-01T000000_000.csv-1-1",45.75,46.43125,"entry0035_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.0146722304482433
"entry0036_2000-01-01T000000_000.csv-1-1",60.5,60.810075,"entry0036_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.00509907280989207
"entry0037_2000-01-01T000000_000.csv-1-1",59.25,59.303125,"entry0037_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.000895821257311506
"entry0037_2000-01-01T000000_000.csv-1-3",57,57,"entry0037_2000-01-01T000000_000.csv","1-3","Phaethornis yaruqui",0
"entry0038_2000-01-01T000000_000.csv-1-1",56,56.327725,"entry0038_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.00581818278654075
"entry0039_2000-01-01T000000_000.csv-1-1",44.25,45.10835,"entry0039_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.0190286277374367
"entry0039_2000-01-01T000000_000.csv-1-3",48.75,47.4179,"entry0039_2000-01-01T000000_000.csv","1-3","Phaethornis yaruqui",0.02809276665563
"entry0040_2000-01-01T000000_000.csv-1-1",46.25,45.585175,"entry0040_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",0.0145842370902382
"entry0040_2000-01-01T000000_000.csv-2-1",45.5,44.888925,"entry0040_2000-01-01T000000_000.csv","2-1","Phaethornis yaruqui",0.0136130459796041
"entry0041_2000-01-01T000000_000.csv-1-1",47.5,47.67395,"entry0041_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",-0.00364874318154879
"entry0041_2000-01-01T000000_000.csv-2-1",48,48.7541,"entry0041_2000-01-01T000000_000.csv","2-1","Phaethornis yaruqui",-0.0154674170992799
"entry0044_2000-01-01T000000_000.csv-2-1",39.25,38.9049,"entry0044_2000-01-01T000000_000.csv","2-1","Phaethornis yaruqui",0.00887034795102936
"entry0045_2000-01-01T000000_000.csv-1-1",42.75,42.64175,"entry0045_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",0.00253859187298828
"entry0045_2000-01-01T000000_000.csv-1-3",45.4456740442656,45.3324732394366,"entry0045_2000-01-01T000000_000.csv","1-3","Phaethornis yaruqui",0.00249712395419196
"entry0046_2000-01-01T000000_000.csv-1-1",46.75,46.74755,"entry0046_2000-01-01T000000_000.csv","1-1","Phaethornis yaruqui",5.24091636888601e-05
