"","Idrec_sub","Id_cowlog","Lek","BirdID","Date","Species"
"1","9.SUR.2013.2.13.07.36.(1).MOV-","9.SUR.2013.2.13.07.36.(1).MOV_2000-01-01T000000_000","SUR","9",2013-02-13,"LBH"
"2","36.SUR.2013.3.23.07.10.(3).MOV-","36.SUR.2013.3.23.07.10.(3).MOV_2000-01-01T000000_000","SUR","36",2013-03-23,"LBH"
"3","36.SUR.2013.3.23.07.10.(3).MOV-2","36.SUR.2013.3.23.07.10.(3).MOV-2_2017-02-16T203539_158","SUR","36",2013-03-23,"LBH"
"4","36.SUR.2013.3.23.07.10.(3).MOV-3","36.SUR.2013.3.23.07.10.(3).MOV-3_2000-01-01T000000_000","SUR","36",2013-03-23,"LBH"
"5","54.SUR.2013.3.24.07.34.(1).MOV-","54.SUR.2013.3.24.07.34.(1).MOV_2000-01-01T000000_000","SUR","54",2013-03-24,"LBH"
"6","108.LOC.2013.4.10.07.16.(1).MOV-","108.LOC.2013.4.10.07.16.(1).MOV_2000-01-01T000000_000","LOC","108",2013-04-10,"LBH"
"7","146.CCL.2013.2.25.14.20.(1).MOV-",NA,NA,NA,NA,"LBH"
"8","117.LOC.2013.4.10.07.16.(2).MOV-","117.LOC.2013.4.10.07.16.(2).MOV_2000-01-01T000000_000","LOC","117",2013-04-10,"LBH"
"9","124.SJA.2013.6.21.07.39.(3).MOV-","124.SJA.2013.6.21.07.39.(3).MOV_2000-01-01T000000_000","SJA","124",2013-06-21,"LBH"
"10","143.SUR.2013.2.16.09.38.(2).MOV-","143.SUR.2013.2.16.09.38.(2).MOV-_2000-01-01T000000_000","SUR","143",2013-02-16,"LBH"
"11","146.CCL.2013.2.25.14.20.(1).MOV-2","146.CCL.2013.2.25.14.20.(1).MOV-2_2000-01-01T000000_000","CCL","146",2013-02-25,"LBH"
"12","143.SUR.2013.2.7.07.10.(2)-C5","143.SUR.2013.2.7.07.10.(2)-C5.mov_2000-01-01T000000_000","SUR","143",2013-02-07,"LBH"
"13","143.SUR.2013.2.16.09.38.(2)-C2","143.SUR.2013.2.16.09.38.(2)-C2.mov_2000-01-01T000000_000","SUR","143",2013-02-16,"LBH"
"14","146.CCL.2013.2.26.14.32.(1)-C9","146.CCL.2013.2.26.14.32.(1)-C9_2000-01-01T000000_000","CCL","146",2013-02-26,"LBH"
"15","176.SUR.2013.3.18.07.17.(1)-C1","176.SUR.2013.3.18.07.17.(1)-C1.mov","SUR","176",2013-03-18,"LBH"
"16","176.SUR.2013.3.18.07.17.(1)-C2","176.SUR.2013.3.18.07.17.(1)-C2_2000-01-01T000000_000","SUR","176",2013-03-18,"LBH"
"17","176.SUR.2013.3.18.07.17.(1)-C5","176.SUR.2013.3.18.07.17.(1)-C5_2000-01-01T000000_000","SUR","176",2013-03-18,"LBH"
"18","176.SUR.2013.3.18.07.17.(1)-C7","176.SUR.2013.3.18.07.17.(1)-C7_2000-01-01T000000_000","SUR","176",2013-03-18,"LBH"
"19","176.SUR.2013.3.18.07.17.(1)-C10","176.SUR.2013.3.18.07.17.(1)-C10_2000-01-01T000000_000","SUR","176",2013-03-18,"LBH"
"20","176.SUR.2013.3.19.07.19.(2)-C1","176.SUR.2013.3.19.07.19.(2)-C1_2000-01-01T000000_000","SUR","176",2013-03-19,"LBH"
"21","176.SUR.2013.3.19.09.22.(1)-C1","176.SUR.2013.3.19.09.22.(1)-C1_2000-01-01T000000_000","SUR","176",2013-03-19,"LBH"
"22","176.SUR.2013.3.19.09.22.(1)-C2","176.SUR.2013.3.19.09.22.(1)-C2_2000-01-01T000000_000","SUR","176",2013-03-19,"LBH"
"23","176.SUR.2013.3.19.09.22.(1)-C3","176.SUR.2013.3.19.09.22.(1)-C3_2000-01-01T000000_000","SUR","176",2013-03-19,"LBH"
"24","176.SUR.2013.3.19.09.22.(1)-C7","176.SUR.2013.3.19.09.22.(1)-C7_2000-01-01T000000_000","SUR","176",2013-03-19,"LBH"
"25","176.SUR.2013.3.19.14.22.(3)-C2","176.SUR.2013.3.19.14.22.(3)-C2_2000-01-01T000000_000","SUR","176",2013-03-19,"LBH"
"26","176.SUR.2013.3.21.06.58.(1)-C6","176.SUR.2013.3.21.06.58.(1)-C6_2000-01-01T000000_000","SUR","176",2013-03-21,"LBH"
"27","176.SUR.2013.3.21.09.00.(2)-C3","176.SUR.2013.3.21.09.00.(2)-C3_2000-01-01T000000_000","SUR","176",2013-03-21,"LBH"
"28","176.SUR.2013.3.22.06.58.(1)-C1","176.SUR.2013.3.22.06.58.(1)-C1_2000-01-01T000000_000","SUR","176",2013-03-22,"LBH"
"29","176.SUR.2013.3.22.06.58.(1)-C2","176.SUR.2013.3.22.06.58.(1)-C2_2000-01-01T000000_000","SUR","176",2013-03-22,"LBH"
"30","176.SUR.2013.3.22.06.58.(1)-C3","176.SUR.2013.3.22.06.58.(1)-C3_2000-01-01T000000_000","SUR","176",2013-03-22,"LBH"
"31","176.SUR.2013.3.22.06.58.(1)-C5","176.SUR.2013.3.22.06.58.(1)-C5_2000-01-01T000000_000","SUR","176",2013-03-22,"LBH"
"32","176.SUR.2013.3.22.06.58.(1)-C6","176.SUR.2013.3.22.06.58.(1)-C6_2000-01-01T000000_000","SUR","176",2013-03-22,"LBH"
"33","176.SUR.2013.3.22.06.58.(1)-C8","176.SUR.2013.3.22.06.58.(1)-C8_2000-01-01T000000_000","SUR","176",2013-03-22,"LBH"
"34","176.SUR.2013.3.22.06.58.(1)-C9","176.SUR.2013.3.22.06.58.(1)-C9_2000-01-01T000000_000","SUR","176",2013-03-22,"LBH"
"35","176.SUR.2013.3.22.09.00.(2)-C2","176.SUR.2013.3.22.09.00.(2)-C2_2000-01-01T000000_000","SUR","176",2013-03-22,"LBH"
"36","176.SUR.2013.3.23.07.05.(1)-C3","176.SUR.2013.3.23.07.05.(1)-C3_2000-01-01T000000_000","SUR","176",2013-03-23,"LBH"
"37","176.SUR.2013.3.23.07.05.(1)-C7","176.SUR.2013.3.23.07.05.(1)-C7_2000-01-01T000000_000","SUR","176",2013-03-23,"LBH"
