"code","time","rate","species","file","file.cut"
"wag",1.6,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",3.2,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",3.2,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",4.8,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",4.8,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",6.4,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",6.4,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",8,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",8,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",9.6,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",9.6,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",11.2,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",11.2,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",12.8,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",12.8,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",14.4,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",14.4,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",16,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",16,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",17.6,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",17.6,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",19.2,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",19.2,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",20.8,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",20.8,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",22.4,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",22.4,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",24,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",24,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
