"file.cut.sgmnt","obs.dist","mean.rndm","p","file","cut","species","synch.score","sp.english","Bird","n"
"entry0001_2016-06-10T103226_250.csv-2",15.4408082848304,13.7488941294843,0.7915,"entry0001_2016-06-10T103226_250.csv",2,"Phaethornis yaruqui",0.123058199402222,"White-whiskered hermit","A58318",38
"entry0002_2000-01-01T000000_000.csv-1",24.322169379615,19.3678875886996,0.9998,"entry0002_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",0.255798768359545,"White-whiskered hermit","A58318",40
"entry0002_2000-01-01T000000_000.csv-2",18.493899089809,19.0202341836512,0.3857,"entry0002_2000-01-01T000000_000.csv",2,"Phaethornis yaruqui",-0.0276723771516233,"White-whiskered hermit","A58318",34
"entry0003_2000-01-01T000000_000.csv-1",33.6140065454222,32.6633128111698,0.6482,"entry0003_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",0.029105857686526,"White-whiskered hermit","A58318",74
"entry0004_2016-06-10T112051_746.csv-1",29.6173426588206,27.8846587460283,0.7719,"entry0004_2016-06-10T112051_746.csv",1,"Phaethornis yaruqui",0.0621375333502744,"White-whiskered hermit","A58318",74
"entry0005_2000-01-01T000000_000.csv-1",39.8080087026739,38.4113793627203,0.7627,"entry0005_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",0.0363597809587925,"White-whiskered hermit","A58318",74
"entry0006_2000-01-01T000000_000.csv-1",20.0522842640651,15.9973729181612,0.9764,"entry0006_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",0.253473577608518,"White-whiskered hermit","A58318",32
"entry0007_2000-01-01T000000_000.csv-1",30.928817178724,30.2755407749366,0.6526,"entry0007_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",0.0215776956270998,"White-whiskered hermit","A58318",50
"entry0008_2000-01-01T000000_000.csv-1",40.8476215914457,43.7474770712873,0.1103,"entry0008_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.0662862334921921,"White-whiskered hermit","A58318",78
"entry0009_2000-01-01T000000_000.csv-1",49.1484508075471,40.1591566720447,0.9997,"entry0009_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",0.22384170586331,"White-whiskered hermit","A58318",78
"entry0010_2000-01-01T000000_000.csv-1",26.7381754836845,32.8262147605924,0.0032,"entry0010_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.185462726095868,"White-whiskered hermit","A58329",70
"entry0011_2000-01-01T000000_000.csv-1",13.3336210173471,18.5701808554456,0.0021,"entry0011_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.281987551917834,"White-whiskered hermit","A58329",38
"entry0013_2000-01-01T000000_000.csv-1",20.4140114841483,21.949994427637,0.2143,"entry0013_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.0699764616593574,"White-whiskered hermit","A58329",50
"entry0017_2000-01-01T000000_000.csv-1",19.7540505569905,18.7838651329007,0.7083,"entry0017_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",0.0516499355817068,"White-whiskered hermit","A58398",36
"entry0018_2000-01-01T000000_000.csv-1",40.4747817433338,38.5590963252588,0.8395,"entry0018_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",0.0496818027558428,"White-whiskered hermit","A58398",74
"entry0019_2000-01-01T000000_000.csv-1",24.8074720662429,29.2554641084536,0.0161,"entry0019_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.152039701907359,"White-whiskered hermit","A58398",84
"entry0020_2000-01-01T000000_000.csv-1",24.7607752159835,26.2137172889939,0.2518,"entry0020_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.0554267850298534,"White-whiskered hermit","A58398",57
"entry0021_2000-01-01T000000_000.csv-1",14.8686475181345,15.4735418615922,0.3794,"entry0021_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.0390921709372282,"White-whiskered hermit","A58317",31
"entry0024_2000-01-01T000000_000.csv-1",26.2000492335063,25.4725698781975,0.6798,"entry0024_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",0.0285593231773413,"White-whiskered hermit","A58317",45
"entry0025_2000-01-01T000000_000.csv-1",21.2852994547769,22.697211799156,0.0265,"entry0025_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.0622064223955279,"White-whiskered hermit","A00001",32
"entry0027_2000-01-01T000000_000.csv-1",29.0014117672647,26.6089287547954,0.8349,"entry0027_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",0.0899127895946652,"White-whiskered hermit","A00001",62
"entry0030_2000-01-01T000000_000.csv-1",31.98174264394,38.5260626805859,0.0101,"entry0030_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.16986734644814,"White-whiskered hermit","A00001",88
"entry0031_2000-01-01T000000_000.csv-1",15.2906737930569,22.267550249568,2e-04,"entry0031_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.313320341856934,"White-whiskered hermit","A00002",42
"entry0032_2000-01-01T000000_000.csv-2",36.6173328316854,36.47419565012,0.5589,"entry0032_2000-01-01T000000_000.csv",2,"Phaethornis yaruqui",0.00392434100366458,"White-whiskered hermit","A00002",56
"entry0033_2000-01-01T000000_000.csv-1",41.8664549665517,38.9884712380525,0.9134,"entry0033_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",0.0738162753529642,"White-whiskered hermit","A58332",70
"entry0035_2000-01-01T000000_000.csv-1",9.04039784013313,14.8289974221966,0.0019,"entry0035_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.390356773101792,"White-whiskered hermit","A58334",34
"entry0036_2000-01-01T000000_000.csv-1",30.2265449929459,30.9177901570119,0.3791,"entry0036_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.0223575216907686,"White-whiskered hermit","A58334",58
"entry0037_2000-01-01T000000_000.csv-1",22.5650854540594,18.8399171344951,0.9017,"entry0037_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",0.197727425920767,"White-whiskered hermit","A58334",76
