"code","time","rate","species","file","file.cut","sgmt","file.cut.sgmt"
"song",0,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"wag",0,3.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"song",2,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"wag",2,3.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"song",4,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"wag",4,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"song",6,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"wag",6,3.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"song",8,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"wag",8,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"song",10,1.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"wag",10,3.75,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"song",12,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"wag",12,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"song",14,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"wag",14,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"song",16,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"wag",16,3.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"song",18,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"wag",18,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1",1,"entry0001_2016-06-10T103226_250.csv-1-1"
"song",0,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"wag",0,3.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"song",2,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"wag",2,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"song",4,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"wag",4,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"song",6,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
