"code","time","rate","species","file","file.cut","sgmt","file.cut.sgmt"
"wag",6,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"song",8,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"wag",8,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"song",10,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"wag",10,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"song",12,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"wag",12,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"song",14,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"wag",14,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"song",16,1.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"wag",16,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"song",18,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"wag",18,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2",1,"entry0001_2016-06-10T103226_250.csv-2-1"
"song",0,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"wag",0,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"song",2,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"wag",2,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"song",4,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"wag",4,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"song",6,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"wag",6,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"song",8,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"wag",8,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"song",10,0.75,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"wag",10,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"song",12,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"wag",12,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"song",14,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"wag",14,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"song",16,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"wag",16,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"song",18,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"wag",18,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1",1,"entry0002_2000-01-01T000000_000.csv-1-1"
"song",0,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"wag",0,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"song",2,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"wag",2,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"song",4,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"wag",4,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"song",6,0.75,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"wag",6,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"song",8,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"wag",8,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"song",10,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"wag",10,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"song",12,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"wag",12,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"song",14,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"wag",14,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"song",16,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"wag",16,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"song",18,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"wag",18,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2",1,"entry0002_2000-01-01T000000_000.csv-2-1"
"song",0,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"wag",0,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"song",2,1.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"wag",2,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"song",4,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"wag",4,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"song",6,0.75,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"wag",6,3.5,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"song",8,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"wag",8,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"song",10,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"wag",10,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"song",12,0.75,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"wag",12,3.5,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"song",14,0.75,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"wag",14,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"song",16,0.75,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"wag",16,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"song",18,0.75,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"wag",18,3.5,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"song",0,0.75,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"wag",0,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"song",2,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"wag",2,3.5,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"song",4,1.5,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"wag",4,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"song",6,1.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"wag",6,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"song",8,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"wag",8,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"song",10,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"wag",10,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"song",12,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"wag",12,3.5,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"song",14,1.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"wag",14,3.5,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"song",15.5105,1.32406487917908,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"wag",15.5105,3.3101621979477,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"song",16.5105,0.9794319294809,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"wag",16.5105,2.9382957884427,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",3,"entry0003_2000-01-01T000000_000.csv-1-3"
"song",0,1,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"wag",0,3.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"song",2,1,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"wag",2,3.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"song",4,1,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"wag",4,3.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"song",6,1,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"wag",6,3.5,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"song",8,1.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"wag",8,3.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"song",10,1.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"wag",10,3.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"song",12,1,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"wag",12,3.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"song",14,1,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"wag",14,3.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"song",16,1,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"wag",16,3.5,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"song",18,1,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"wag",18,3.5,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",1,"entry0004_2016-06-10T112051_746.csv-1-1"
"song",0,1.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",3,"entry0004_2016-06-10T112051_746.csv-1-3"
"wag",0,3.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",3,"entry0004_2016-06-10T112051_746.csv-1-3"
"song",2,1.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",3,"entry0004_2016-06-10T112051_746.csv-1-3"
"wag",2,3,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",3,"entry0004_2016-06-10T112051_746.csv-1-3"
"song",4,1.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",3,"entry0004_2016-06-10T112051_746.csv-1-3"
"wag",4,3.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",3,"entry0004_2016-06-10T112051_746.csv-1-3"
"song",6,1.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",3,"entry0004_2016-06-10T112051_746.csv-1-3"
"wag",6,3.5,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",3,"entry0004_2016-06-10T112051_746.csv-1-3"
"song",8,1.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",3,"entry0004_2016-06-10T112051_746.csv-1-3"
"wag",8,3.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",3,"entry0004_2016-06-10T112051_746.csv-1-3"
"song",10,1.5,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1",3,"entry0004_2016-06-10T112051_746.csv-1-3"
