"code","time","rate","species","file","file.cut","sgmt","file.cut.sgmt"
"song",0,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"wag",0,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"song",2,1.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"wag",2,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"song",4,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"wag",4,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"song",6,0.75,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"wag",6,3.5,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"song",8,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
"wag",8,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1",1,"entry0003_2000-01-01T000000_000.csv-1-1"
