"code","time","rate","species","file","file.cut"
"song",0,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"wag",0,3.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"song",2,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"wag",2,3.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"song",4,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"wag",4,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"song",6,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"wag",6,3.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"song",8,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"wag",8,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"song",10,1.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"wag",10,3.75,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"song",12,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"wag",12,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"song",14,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"wag",14,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"song",16,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"wag",16,3.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"song",18,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"wag",18,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"song",19.217,1.23253903040263,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"wag",19.217,3.28677074774034,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-1"
"song",0,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",0,3.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",2,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",2,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",4,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",4,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",6,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",6,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",8,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",8,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",10,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",10,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",12,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",12,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",14,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",14,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",16,1.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",16,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",18,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",18,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",20,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",20,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",22,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",22,3.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",24,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",24,3.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",25.8135,1.10283981251723,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",25.8135,3.30851943755169,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",26.8135,1.22925629993854,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",26.8135,3.07314074984634,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",0,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",0,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",2,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",2,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",4,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",4,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",6,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",6,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",8,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",8,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",10,0.75,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",10,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",12,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",12,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",14,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",14,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",16,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",16,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",18,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",18,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",20,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",20,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",22,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
